Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Land Area(Km2),Latitude,Longitude
Kiribati,89.8150208,8.18,24.7,430000.0,42.425,0.03,0.0,0.0,0.0,2531.0874,5.845,85.00000276,,2.3564639718000002,1641.7112774000002,811.0,1.8368976,-157.3768317
Kuwait,100.0,100.0,16.516,,0.03,68.22200000000001,0.0,0.046,0.0669594072,102301.465,7.2375,91580.0018325,0.0342388718,-1.7595812576,29599.341272,17818.0,29.31166,47.481766
Kyrgyzstan,99.913058,76.66,583.9979999999999,31440000.0,24.39,1.3039999999999998,0.0,13.624,91.1505622,11053.561,5.35,,,,,199951.0,41.20438,74.766098
Latvia,100.0,100.0,,,40.8925,2.714,0.0,3.8520000000000003,58.364124600000004,23008.0354,3.2875,7407.50002875,23.9457332,1.7071878366,16697.554364,64589.0,56.87963499999999,24.603189
Lebanon,99.8560648,,47.828,7552500.0,4.535,18.886000000000003,0.0,0.756,3.83316502,17881.4866,3.4475,28217.50021,,-5.591923921,7151.9005302000005,10400.0,33.854721,35.862285
Lesotho,41.524907400000004,38.72,35.628,4786666.666666667,40.714999999999996,0.0,0.0,0.52,100.0,2171.89674,8.1025,722.4999964250001,,-2.1544383322,1060.6170792,30355.0,-29.609987999999998,28.233607999999997
Liberia,23.0827686,0.4,16.65,25170000.0,85.4325,0.348,0.0,0.10600000000000001,11.910112,1089.68956,13.875,1249.99997025,,-0.6784882982,695.50856664,111369.0,6.428054999999999,-9.429499
Libya,69.484148,,0.756,,2.7125,30.933999999999997,0.0,0.01,0.032348942000000006,30280.1726,8.88,54882.499695,,2.0508374116,5810.8527268,1759540.0,26.3351,17.228331
Lithuania,100.0,100.0,,,33.1275,1.062,0.0,2.374,70.50025339999999,24051.313199999997,3.2275,11449.999810000001,9.5466977,3.0472151656000004,18165.609338000002,65300.0,55.169438,23.881275
Luxembourg,100.0,100.0,,,15.342500000000001,0.28600000000000003,0.0,0.702,70.00047959999999,72812.311,2.3525,9164.99996175,4.5259122,1.9614643494,112635.71106,2586.0,49.815273,6.129583
